LON;LAT;NOMBRE;CODIGO
-58,38334;-34,58333;BUENOS AIRES;12
-52,08333;-32,13334;RIO GRANDE (BRASIL);20
-56,2;-34,9;MONTEVIDEO;XX
-57,31667;-35,73333;SAMBOROMBON;21
-56,78333;-36,33333;SAN CLEMENTE;14
-57,55;-38,06667;MAR DEL PLATA;1
-58,7;-38,58333;QUEQUEN;2
-62,16667;-38,75;BAHIA BLANCA;3
-62,23333;-40,55;BAHIA SAN BLAS;15
-64,96667;-40,73333;SAN ANTONIO OESTE;9
-62,86666;-40,9;VIEDMA;22
-65,05;-42,76667;PUERTO MADRYN;4
-65,06667;-43,33333;RAWSON;7
-65,73333;-44,8;BAHIA CAMARONES;11
-67,5;-45,88334;COMOD, RIVAD,;6
-67,53333;-46,43333;CALETA OLIVIA;16
-65,91666;-47,76667;DESEADO;5
-67,73333;-49,31667;SAN JULIAN;17
-68,41666;-50,11666;PUNTA QUILLA;23
-69,2;-51,63334;RIO GALLEGOS;19
-68,3;-54,83333;USHUAIA;10
